"category","documentName","annexureNumber","fileName","downloadUrl"
"Other Documents","DWG-12","113","DWG-12.pdf","https://rera.karnataka.gov.in/download_jc?DOC_ID=5061297"
"Other Documents","DWG-13","113","DWG-13.pdf","https://rera.karnataka.gov.in/download_jc?DOC_ID=5061298"
"Other Documents","DWG-14","113","DWG-14.pdf","not available"
"Other Documents","DWG-15","113","DWG-15.pdf","not available"
"Other Documents","DWG-16","113","DWG-16.pdf","not available"
"Other Documents","DWG-20","113","DWG-20.pdf","not available"
"Other Documents","DWG-21","113","DWG-21.pdf","not available"
"Other Documents","DWG-22","113","DWG-22.pdf","not available"
"Other Documents","DWG-23","113","DWG-23.pdf","not available"
"Other Documents","DWG-24","113","DWG-24.pdf","not available"
"Other Documents","DWG-25","113","DWG-25.pdf","not available"
"Other Documents","DWG-26","113","DWG-26.pdf","not available"
"Other Documents","DWG-27","113","DWG-27.pdf","not available"
"Other Documents","DWG-28","113","DWG-28.pdf","not available"
"Other Documents","DWG-29","113","DWG-29.pdf","not available"
"Other Documents","DWG-30","113","DWG-30.pdf","not available"
"Other Documents","DWG-31","113","DWG-31.pdf","not available"
"Other Documents","DWG-32","113","DWG-32.pdf","not available"
"Other Documents","DWG-33","113","DWG-33.pdf","not available"
"Other Documents","DWG-34","113","DWG-34.pdf","not available"
"Other Documents","DWG-35","113","DWG-35.pdf","not available"
"Other Documents","DWG-36","113","DWG-36.pdf","not available"
"Other Documents","DWG-37","113","DWG-37.pdf","not available"
"Other Documents","DWG-38","113","DWG-38.pdf","not available"
"Other Documents","DWG-39","113","DWG-39.pdf","not available"
